gx,gy,gz,wx,wy,wz
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.000000,0.000000,0.000000
-0.021754,0.999081,-0.036432,0.001953,-0.001953,0.001953
-0.021754,0.999081,-0.036432,0.003906,0.001953,0.000000
-0.021694,0.999138,-0.036601,0.001953,0.001953,0.001953
-0.021694,0.999138,-0.036601,0.001953,0.000000,0.000000
-0.021694,0.999138,-0.036601,-0.001953,-0.001953,0.001953
-0.021694,0.999138,-0.036601,0.001953,0.000000,0.000000
-0.021694,0.999138,-0.036601,0.000000,0.000000,-0.001953
-0.021694,0.999138,-0.036601,-0.003906,0.000000,-0.001953
-0.021694,0.999138,-0.036601,-0.001953,0.000000,0.000000
-0.021779,0.999162,-0.036601,0.000000,0.000000,-0.003906
-0.021779,0.999162,-0.036601,0.000000,0.000000,0.000000
-0.021779,0.999162,-0.036601,0.000000,0.000000,0.001953
-0.021779,0.999162,-0.036601,0.000000,0.001953,0.000000
-0.021694,0.999138,-0.036601,0.003906,0.001953,0.000000
-0.021718,0.999053,-0.036601,0.001953,-0.001953,0.001953
-0.021718,0.999053,-0.036601,0.001953,0.000000,-0.001953
-0.021718,0.999053,-0.036601,0.000000,-0.001953,0.000000
-0.021718,0.999053,-0.036601,0.000000,0.000000,0.001953
-0.021742,0.999134,-0.036770,0.001953,0.001953,-0.001953
-0.021742,0.999134,-0.036770,0.000000,-0.001953,0.000000
-0.021742,0.999134,-0.036770,0.000000,0.000000,0.000000
-0.021766,0.999050,-0.036770,0.000000,0.000000,0.001953
-0.021766,0.999050,-0.036770,0.003906,0.001953,0.000000
-0.021766,0.999050,-0.036770,0.000000,-0.001953,0.001953
-0.021766,0.999050,-0.036770,0.000000,0.000000,0.000000
-0.021685,0.999074,-0.036818,-0.001953,-0.001953,0.000000
-0.021685,0.999074,-0.036818,0.000000,0.000000,0.000000
-0.021685,0.999074,-0.036818,0.000000,0.000000,-0.001953
-0.021685,0.999074,-0.036818,-0.001953,-0.001953,0.001953
-0.021685,0.999074,-0.036818,0.000000,0.000000,0.001953
-0.021685,0.999074,-0.036818,0.000000,-0.001953,0.000000
-0.021685,0.999074,-0.036818,0.001953,0.000000,0.001953
-0.021710,0.999155,-0.036987,0.001953,0.000000,0.000000
-0.021710,0.999155,-0.036987,-0.001953,0.000000,0.000000
-0.021710,0.999155,-0.036987,-0.001953,0.000000,-0.003906
-0.021685,0.999074,-0.036818,-0.003906,0.000000,0.001953
-0.021685,0.999074,-0.036818,0.001953,0.001953,0.000000
-0.021625,0.999132,-0.036987,0.003906,0.000000,-0.001953
-0.021649,0.999047,-0.036987,0.003906,-0.001953,-0.001953
-0.021649,0.999047,-0.036987,-0.001953,0.001953,0.001953
-0.021649,0.999047,-0.036987,0.000000,0.000000,0.000000
-0.021649,0.999047,-0.036987,0.000000,0.000000,0.000000
-0.021649,0.999047,-0.036987,-0.001953,0.000000,0.000000
-0.021649,0.999047,-0.036987,0.001953,0.000000,0.000000
