t_s,iteration,sensor_mode,psi_deg,psi_dot_dps,psi_enc_deg,psi_imu_deg,phi_yaw_deg,setpoint_deg,rest_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.6265,124,enc,10.8000,69.4955,10.8000,7.6908,-1.0379,90.00,84.92,79.2000,9.9477,0.351073,0.704000,0.033159,-0.386086,0.000000,1343
0.6316,125,enc,11.1600,70.2468,11.1600,7.6908,-1.0379,90.00,84.92,78.8400,10.3419,0.345013,0.700800,0.034473,-0.390260,0.000000,1345
0.6366,126,enc,11.5200,70.7728,11.5200,11.1373,-1.1507,90.00,84.92,78.4800,10.7343,0.340199,0.697600,0.035781,-0.393182,0.000000,1347
0.6417,127,enc,12.0600,81.9409,12.0600,11.1373,-1.1507,90.00,84.92,77.9400,11.1240,0.274653,0.692800,0.037080,-0.455227,0.000000,1367
0.6468,128,enc,12.4200,78.9587,12.4200,11.1373,-1.1507,90.00,84.92,77.5800,11.5119,0.289314,0.689600,0.038373,-0.438659,0.000000,1366
0.6519,129,enc,12.7800,76.8711,12.7800,11.1373,-1.1507,90.00,84.92,77.2200,11.8980,0.298999,0.686400,0.039660,-0.427061,0.000000,1362
0.6569,130,enc,13.1400,75.4097,13.1400,11.1373,-1.1507,90.00,84.92,76.8600,12.2823,0.305198,0.683200,0.040941,-0.418943,0.000000,1360
0.6620,131,enc,13.5000,74.3868,13.5000,11.1373,-1.1507,90.00,84.92,76.5000,12.6648,0.308956,0.680000,0.042216,-0.413260,0.000000,1359
0.6671,132,enc,13.8600,73.6708,13.8600,11.1373,-1.1507,90.00,84.92,76.1400,13.0455,0.311003,0.676800,0.043485,-0.409282,0.000000,1358
0.6721,133,enc,14.4000,83.9695,14.4000,11.1373,-1.1507,90.00,84.92,75.6000,13.4235,0.250248,0.672000,0.044745,-0.466497,0.000000,1378
0.6772,134,enc,14.7600,80.3787,14.7600,11.1373,-1.1507,90.00,84.92,75.2400,13.7997,0.268251,0.668800,0.045999,-0.446548,0.000000,1374
0.6823,135,enc,15.1200,77.8651,15.1200,11.1373,-1.1507,90.00,84.92,74.8800,14.1741,0.280263,0.665600,0.047247,-0.432584,0.000000,1369
0.6874,136,enc,15.4800,76.1056,15.4800,14.9471,-1.1049,90.00,84.92,74.5200,14.5467,0.288080,0.662400,0.048489,-0.422809,0.000000,1366
