t_s,psi_deg,psi_dot_dps,pwm_us
7.8923,26.8185,9.1763,1300
7.9124,27.3416,12.0858,1300
7.9324,27.3416,12.0858,1300
7.9525,27.9804,12.0858,1300
7.9726,27.9804,15.8906,1300
7.9926,27.9804,15.8906,1300
8.0127,28.7787,16.3382,1300
8.0328,28.7787,16.3382,1300
8.0529,29.6424,16.3382,1300
8.0729,29.6424,18.1287,1300
8.0930,29.6424,18.1287,1300
8.1131,30.5239,16.5621,1300
8.1331,30.5239,16.5621,1300
8.1532,31.3463,16.5621,1300
8.1733,31.3463,15.6668,1300
8.1934,31.3463,15.6668,1300
8.2138,32.0736,12.5335,1300
8.2339,32.0736,12.5335,1300
8.2540,32.6486,12.5335,1300
8.2741,32.6486,9.1763,1300
8.2942,32.6486,9.1763,1300
8.3142,33.0580,6.3786,1300
8.3343,33.0580,6.3786,1300
8.3544,33.3262,6.3786,1300
8.3745,33.3262,1.9024,1300
8.3946,33.3262,1.9024,1300
8.4147,33.3636,-2.0143,1300
8.4348,33.3636,-2.0143,1300
8.4549,33.2084,-2.0143,1300
8.4749,33.2084,-5.8191,1300
8.4950,33.2084,-5.8191,1300
8.5151,32.8912,-7.9453,1300
8.5353,32.8912,-7.9453,1300
8.5554,32.4972,-7.9453,1300
8.5754,32.4972,-10.4072,1300
8.5955,32.4972,-10.4072,1300
8.6156,31.9753,-10.9668,1300
8.6357,31.9753,-10.9668,1300
8.6558,31.3960,-10.9668,1300
8.6759,31.3960,-11.8620,1300
8.6961,31.3960,-11.8620,1300
8.7162,30.7953,-10.8549,1300
8.7363,30.7953,-10.8549,1300
8.7564,30.2296,-10.8549,1300
8.7764,30.2296,-10.8549,1300
8.7965,30.2296,-10.8549,1300
8.8166,29.9676,-8.8406,1300
8.8367,29.9676,-8.8406,1300
8.8568,29.8998,-8.8406,1300
8.8769,29.8998,-8.6167,1300
8.8970,29.8998,-8.6167,1300
8.9171,29.7709,-4.4762,1300
8.9372,29.7709,-4.4762,1300
8.9573,29.6588,-4.4762,1300
8.9774,29.6588,-3.2453,1300
8.9974,29.6588,-3.2453,1300
9.0175,29.6077,1.4548,1300
9.0376,29.6077,1.4548,1300
9.0577,29.6979,1.4548,1300
9.0778,29.6979,2.7976,1300
9.0979,29.6979,2.7976,1300
9.1180,29.8606,5.1477,1300
9.1381,29.8606,5.1477,1300
9.1582,30.1346,5.8191,1300
9.1784,30.1346,5.8191,1300
9.1985,30.1346,5.8191,1300
9.2186,30.4963,7.9453,1300
9.2386,30.4963,7.9453,1300
9.2587,30.9165,8.6167,1300
9.2788,30.9165,8.6167,1300
9.2989,30.9165,8.6167,1300
9.3190,31.3571,7.3858,1300
9.3391,31.3571,7.3858,1300
9.3592,31.6037,7.6096,1300
9.3793,31.6037,7.6096,1300
9.3994,31.6037,7.6096,1300
9.4194,31.5048,6.1548,1300
9.4395,31.5048,6.1548,1300
9.4596,31.5543,6.4905,1300
9.4797,31.5543,6.4905,1300
9.4998,31.6800,6.4905,1300
9.5199,31.6800,2.6857,1300
9.5400,31.6800,2.6857,1300
9.5601,31.7786,2.0143,1300
9.5802,31.7786,2.0143,1300
9.6002,31.7787,2.0143,1300
9.6203,31.7787,-1.3429,1300
9.6404,31.7787,-1.3429,1300
9.6605,31.7026,-1.2310,1300
9.6806,31.7026,-1.2310,1300
9.7007,31.5491,-1.2310,1300
9.7208,31.5491,-3.8048,1300
9.7409,31.5491,-3.8048,1300
9.7610,31.3520,-3.8048,1300
9.7811,31.3520,-3.8048,1300
9.8012,31.1147,-3.8048,1300
9.8213,31.1147,-4.8120,1300
9.8414,31.1147,-4.8120,1300
9.8615,30.8729,-6.6024,1300
9.8816,30.8729,-6.6024,1300
9.9017,30.5736,-6.6024,1300
9.9217,30.5736,-5.2596,1300
9.9419,30.5736,-5.2596,1300
9.9620,30.3130,-5.1477,1300
9.9821,30.3130,-5.1477,1300
10.0022,30.0788,-5.1477,1300
10.0223,30.0788,-3.6929,1300
10.0424,30.0788,-3.6929,1300
10.0625,29.8775,-3.3572,1300
10.0825,29.8775,-3.3572,1300
10.1026,29.8999,-3.3572,1300
10.1227,29.8999,-2.2381,1300
10.1428,29.8999,-2.2381,1300
10.1630,29.9848,-1.6786,1300
10.1830,29.9848,-1.6786,1300
10.2031,29.9898,-1.6786,1300
10.2232,29.9898,1.0072,1300
10.2433,29.9898,1.0072,1300
10.2634,30.0676,1.4548,1300
10.2835,30.0676,1.4548,1300
10.3035,30.2024,1.4548,1300
10.3236,30.2024,2.7976,1300
10.3438,30.2024,2.7976,1300
10.3639,30.3406,3.2453,1300
10.3840,30.3406,3.2453,1300
10.4041,30.5070,3.2453,1300
10.4242,30.5070,2.6857,1300
10.4443,30.5070,2.6857,1300
10.4644,30.6795,3.0215,1300
10.4845,30.6795,3.0215,1300
10.5046,30.8618,3.0215,1300
10.5246,30.8618,2.6857,1300
10.5447,30.8618,2.6857,1300
10.5648,31.0102,3.6929,1300
10.5849,31.0102,3.6929,1300
10.6050,31.1598,3.6929,1300
10.6251,31.1598,1.4548,1300
10.6452,31.1598,1.4548,1300
10.6653,31.2032,2.0143,1300
10.6854,31.2032,2.0143,1300
10.7055,31.2313,2.0143,1300
10.7256,31.2313,-0.5595,1300
10.7457,31.2313,-0.5595,1300
10.7658,31.2147,0.4476,1300
10.7859,31.2147,0.4476,1300
10.8060,31.1816,0.4476,1300
10.8261,31.1816,-1.2310,1300
10.8462,31.1816,-1.2310,1300
10.8663,31.1101,-2.4619,1300
10.8864,31.1101,-2.4619,1300
10.9065,30.9835,-2.4619,1300
10.9266,30.9835,-1.9024,1300
10.9467,30.9835,-1.9024,1300
10.9668,30.8452,-3.1334,1300
10.9869,30.8452,-3.1334,1300
11.0070,30.7132,-2.2381,1500
11.0271,30.7132,-2.2381,1500
11.0472,30.7132,-2.2381,1500
11.0673,30.5573,-10.8549,1500
11.0874,30.5573,-10.8549,1500
11.1074,29.5694,-43.7552,1500
11.1275,29.5694,-43.7552,1500
11.1476,29.5694,-43.7552,1500
11.1677,26.8008,-81.6912,1500
11.1878,26.8008,-81.6912,1500
11.2079,22.2015,-115.7106,1500
11.2280,22.2015,-115.7106,1500
11.2481,22.2015,-115.7106,1500
11.2681,16.0030,-142.3442,1500
11.2882,16.0030,-142.3442,1500
11.3083,8.6040,-159.2420,1500
11.3284,8.6040,-159.2420,1500
11.3485,8.6040,-159.2420,1500
11.3686,0.6803,-164.8373,1500
11.3887,0.6803,-164.8373,1500
11.4088,5.2790,-157.4515,1500
11.4289,5.2790,-157.4515,1500
11.4490,12.8862,-157.4515,1500
11.4691,12.8862,-111.9058,1500
11.4892,12.8862,-111.9058,1500
11.5093,11.9565,104.0724,1500
11.5294,11.9565,104.0724,1500
11.5495,6.5347,104.0724,1500
11.5696,6.5347,117.8368,1500
11.5897,6.5347,117.8368,1500
11.6097,0.7056,121.0821,1500
11.6298,0.7056,121.0821,1500
11.6499,3.0774,121.0821,1500
11.6700,3.0774,115.1511,1500
11.6901,3.0774,115.1511,1500
11.7102,8.6184,101.7224,1500
11.7303,8.6184,101.7224,1500
11.7504,13.4322,101.7224,1500
11.7705,13.4322,81.0198,1500
11.7906,13.4322,81.0198,1500
11.8107,17.0970,54.6100,1500
11.8307,17.0970,54.6100,1500
11.8508,19.4032,54.6100,1500
11.8709,19.4032,25.0669,1500
11.8910,19.4032,25.0669,1500
11.9111,20.1958,-6.0429,1500
11.9312,20.1958,-6.0429,1500
11.9513,19.4343,-6.0429,1500
11.9714,19.4343,-37.0408,1500
11.9915,19.4343,-37.0408,1500
12.0116,17.2139,-64.0101,1500
12.0316,17.2139,-64.0101,1500
12.0517,13.6299,-64.0101,1500
12.0719,13.6299,-87.3984,1500
12.0920,13.6299,-87.3984,1500
12.1121,9.0113,-104.4081,1500
12.1322,9.0113,-104.4081,1500
12.1523,3.6782,-104.4081,1500
12.1723,3.6782,-113.3606,1500
12.1924,3.6782,-113.3606,1500
12.2125,-0.3217,-114.8154,1500
12.2326,-0.3217,-114.8154,1500
12.2527,5.3019,-114.8154,1500
12.2728,5.3019,-106.8701,1500
12.2929,5.3019,-106.8701,1500
12.3130,10.4396,-90.1961,1500
12.3330,10.4396,-90.1961,1500
12.3531,14.1158,-90.1961,1500
12.3732,14.1158,60.6530,1500
12.3933,14.1158,60.6530,1500
12.4134,11.0368,79.2293,1500
12.4335,11.0368,79.2293,1500
12.4536,6.8543,79.2293,1500
12.4737,6.8543,91.0913,1500
12.4938,6.8543,91.0913,1500
12.5138,2.2375,97.2462,1500
12.5339,2.2375,97.2462,1500
12.5540,0.2015,97.2462,1500
12.5741,0.2015,94.8961,1500
12.5942,0.2015,94.8961,1500
12.6143,4.9141,87.1746,1500
12.6344,4.9141,87.1746,1500
12.6545,9.0291,87.1746,1500
12.6745,9.0291,72.2912,1500
12.6946,9.0291,72.2912,1500
12.7147,12.3567,52.4838,1500
12.7348,12.3567,52.4838,1500
12.7549,14.6645,52.4838,1500
12.7750,14.6645,29.4312,1500
12.7951,14.6645,29.4312,1500
12.8152,15.7480,4.0286,1500
12.8352,15.7480,4.0286,1500
12.8554,15.5711,4.0286,1500
12.8754,15.5711,-21.2621,1500
12.8955,15.5711,-21.2621,1500
12.9156,14.1343,-44.3147,1500
12.9357,14.1343,-44.3147,1500
12.9558,11.6150,-64.4578,1500
12.9759,11.6150,-64.4578,1500
12.9960,11.6150,-64.4578,1500
13.0161,8.1454,-79.7888,1500
13.0361,8.1454,-79.7888,1500
13.0562,3.9667,-89.5247,1500
13.0763,3.9667,-89.5247,1500
13.0964,3.9667,-89.5247,1500
