t_s,iteration,psi_enc_deg,psi_dot_enc_dps,phi_yaw_deg,setpoint_deg,rest_angle_deg,phys_angle_deg,error_deg,integral_deg_s,u_norm,u_p,u_i,u_d,u_g,pwm_us
0.7430,128,20.1600,106.2263,-1.0088,90.00,84.79,174.79,69.8400,21.4677,0.124926,0.620800,0.071559,-0.590146,0.022713,1428
0.7497,129,20.1600,74.3584,-1.0088,90.00,84.79,174.79,69.8400,21.8169,0.303134,0.620800,0.072723,-0.413102,0.022713,1408
0.7549,130,20.5200,73.6509,-1.0088,90.00,84.79,174.79,69.4800,22.1643,0.305023,0.617600,0.073881,-0.409172,0.022713,1388
0.7600,131,20.7000,62.3556,-1.0088,90.00,84.79,174.79,69.3000,22.5108,0.367329,0.616000,0.075036,-0.346420,0.022713,1368
0.7651,132,21.0600,65.2489,-1.0088,90.00,84.79,174.79,68.9400,22.8555,0.349204,0.612800,0.076185,-0.362494,0.022713,1348
0.7702,133,21.7800,88.8743,-1.0088,90.00,84.79,174.79,68.2200,23.1966,0.212689,0.606400,0.077322,-0.493746,0.022713,1368
0.7753,134,22.3200,94.6120,-1.0088,90.00,84.79,174.79,67.6800,23.5350,0.177141,0.601600,0.078450,-0.525622,0.022713,1388
0.7804,135,23.0400,109.4284,-1.0088,90.00,84.79,174.79,66.9600,23.8698,0.089544,0.595200,0.079566,-0.607935,0.022713,1408
0.7855,136,23.4000,98.1999,-1.0088,90.00,84.79,174.79,66.6000,24.2028,0.149834,0.592000,0.080676,-0.545555,0.022713,1418
0.7906,137,23.9400,101.1399,-1.0088,90.00,84.79,174.79,66.0600,24.5331,0.129802,0.587200,0.081777,-0.561888,0.022713,1426
0.7957,138,24.6600,113.9979,-1.0502,90.00,84.79,174.79,65.3400,24.8598,0.053057,0.580800,0.082866,-0.633322,0.022713,1446
0.8010,139,25.2000,112.1986,-1.0502,90.00,84.79,174.79,64.8000,25.1838,0.059334,0.576000,0.083946,-0.623325,0.022713,1452
0.8061,140,25.2000,78.5390,-1.0502,90.00,84.79,174.79,64.8000,25.5078,0.247411,0.576000,0.085026,-0.436328,0.022713,1432
0.8112,141,25.3800,65.7773,-1.0502,90.00,84.79,174.79,64.6200,25.8309,0.317787,0.574400,0.086103,-0.365429,0.022713,1412
0.8163,142,25.7400,67.6441,-1.0502,90.00,84.79,174.79,64.2600,26.1522,0.305287,0.571200,0.087174,-0.375801,0.022713,1392
0.8214,143,25.9200,58.1509,-1.0502,90.00,84.79,174.79,64.0800,26.4726,0.357495,0.569600,0.088242,-0.323060,0.022713,1372
0.8266,144,26.4600,73.1056,-1.0502,90.00,84.79,174.79,63.5400,26.7903,0.270672,0.564800,0.089301,-0.406142,0.022713,1373
0.8369,145,27.1800,94.3739,-1.0502,90.00,84.79,174.79,62.8200,27.1044,0.147162,0.558400,0.090348,-0.524300,0.022713,1393
0.8420,146,27.9000,109.2617,-1.0785,90.00,84.79,174.79,62.1000,27.4149,0.059086,0.552000,0.091383,-0.607010,0.022713,1413
0.8471,147,28.0800,87.2832,-1.0785,90.00,84.79,174.79,61.9200,27.7245,0.180621,0.550400,0.092415,-0.484907,0.022713,1407
0.8582,148,28.2600,71.8983,-1.0785,90.00,84.79,174.79,61.7400,28.0332,0.265522,0.548800,0.093444,-0.399435,0.022713,1387
0.8652,149,28.6200,71.9288,-1.0785,90.00,84.79,174.79,61.3800,28.3401,0.263176,0.545600,0.094467,-0.399604,0.022713,1376
0.8703,150,28.9800,71.9501,-1.0785,90.00,84.79,174.79,61.0200,28.6452,0.260874,0.542400,0.095484,-0.399723,0.022713,1377
0.8754,151,29.1600,61.1651,-1.0785,90.00,84.79,174.79,60.8400,28.9494,0.320205,0.540800,0.096498,-0.339806,0.022713,1357
0.8805,152,29.5200,64.4156,-1.0785,90.00,84.79,174.79,60.4800,29.2518,0.299955,0.537600,0.097506,-0.357864,0.022713,1362
0.8856,153,30.0600,77.4909,-1.0785,90.00,84.79,174.79,59.9400,29.5515,0.223513,0.532800,0.098505,-0.430505,0.022713,1382
0.8907,154,30.2400,65.0436,-1.0785,90.00,84.79,174.79,59.7600,29.8503,0.292061,0.531200,0.099501,-0.361354,0.022713,1365
0.8958,155,30.7800,77.9305,-1.1095,90.00,84.79,174.79,59.2200,30.1464,0.216654,0.526400,0.100488,-0.432947,0.022713,1385
0.9009,156,31.3200,86.9514,-1.1095,90.00,84.79,174.79,58.6800,30.4398,0.162716,0.521600,0.101466,-0.483063,0.022713,1405
0.9060,157,31.8600,93.2660,-1.1095,90.00,84.79,174.79,58.1400,30.7305,0.123804,0.516800,0.102435,-0.518144,0.022713,1425
0.9111,158,32.4000,97.6862,-1.1095,90.00,84.79,174.79,57.6000,31.0185,0.095407,0.512000,0.103395,-0.542701,0.022713,1439
0.9168,159,32.5800,79.1803,-1.1095,90.00,84.79,174.79,57.4200,31.3056,0.197575,0.510400,0.104352,-0.439891,0.022713,1419
0.9219,160,33.1200,87.8262,-1.1095,90.00,84.79,174.79,56.8800,31.5900,0.145690,0.505600,0.105300,-0.487923,0.022713,1420
0.9271,161,33.4800,83.0784,-1.1095,90.00,84.79,174.79,56.5200,31.8726,0.169809,0.502400,0.106242,-0.461546,0.022713,1411
0.9323,162,33.4800,58.1549,-1.1095,90.00,84.79,174.79,56.5200,32.1552,0.309215,0.502400,0.107184,-0.323083,0.022713,1391
0.9375,163,34.0200,73.1084,-1.1095,90.00,84.79,174.79,55.9800,32.4351,0.222272,0.497600,0.108117,-0.406158,0.022713,1391
0.9428,164,34.2000,61.9759,-1.1357,90.00,84.79,174.79,55.8000,32.7141,0.283450,0.496000,0.109047,-0.344310,0.022713,1371
0.9479,165,34.5600,64.9831,-1.1357,90.00,84.79,174.79,55.4400,32.9913,0.264467,0.492800,0.109971,-0.361017,0.022713,1375
0.9530,166,34.9200,67.0882,-1.1357,90.00,84.79,174.79,55.0800,33.2667,0.250490,0.489600,0.110889,-0.372712,0.022713,1381
0.9581,167,35.2800,68.5617,-1.1357,90.00,84.79,174.79,54.7200,33.5403,0.240016,0.486400,0.111801,-0.380898,0.022713,1384
