wall,t,tgt,ref,angle,err,u,pwm,P,I,D,gz
1786719172.04476,11.500000666999995,60.0,60.0,61.50192758824306,-1.5019275882430634,0.20203459150949116,1365.3489307169627,-0.03669901415793078,0.23951526714009502,-0.0010962244511696498,0.0
1786719172.0633383,11.520001340000135,60.0,60.0,61.50192758824306,-1.5019275882430634,0.20237776320169637,1365.239115775457,-0.03669901415793078,0.2392007041615985,-0.00043848978046785996,0.0
1786719172.0859966,11.540000790000022,60.0,60.0,61.50192758824306,-1.5019275882430634,0.20056848159148058,1365.8180858907263,-0.03669901415793078,0.23888614118310195,-0.0019332084121871439,0.001953125
1786719172.1031122,11.560000889000094,60.0,60.0,61.50192758824306,-1.5019275882430634,0.19965603116029632,1366.1100700287052,-0.03669901415793078,0.2385715782046054,-0.0025310958648748576,0.001953125
1786719172.1247113,11.580000987000176,60.0,60.0,61.497043375185285,-1.4970433751852852,0.19922165703964265,1366.2490697473145,-0.0365796703190128,0.23825803817329957,-0.002770250845949943,0.001953125
1786719172.1447632,11.600000974000068,60.0,60.0,61.497043375185285,-1.4970433751852852,0.1988124550159068,1366.3800143949097,-0.0365796703190128,0.23794449814199375,-0.0028659128383799774,0.001953125
1786719172.1631494,11.620000869000023,60.0,60.0,61.497043375185285,-1.4970433751852852,0.19846065018762896,1366.4925919399589,-0.0365796703190128,0.2376309581106879,-0.002904177635351991,0.001953125
1786719172.1860812,11.640000892999979,60.0,60.0,61.50143753417825,-1.501437534178251,0.19626662217833757,1367.1946809029319,-0.036687039878209524,0.2373164977688747,-0.004677296054140797,0.00390625
1786719172.2031555,11.660001103000013,60.0,60.0,61.50143753417825,-1.501437534178251,0.19524291446900885,1367.5222673699172,-0.036687039878209524,0.23700203742706147,-0.005386543421656319,0.00390625
1786719172.2247133,11.680001072000096,60.0,60.0,61.50143753417825,-1.501437534178251,0.19464475518018942,1367.7136783423393,-0.036687039878209524,0.23668757708524824,-0.005670242368662527,0.00390625
1786719172.2448633,11.700001429000167,60.0,60.0,61.50143753417825,-1.501437534178251,0.2012480652595737,1365.6006191169363,-0.036687039878209524,0.236373116743435,0.0012475280525349889,-0.00390625
